,index,device,datetime,call
115,1050,LM3,2020-05-08 05:24:11.002,Lagmut_call1
116,1051,LM3,2020-05-08 05:24:29.989,Lagmut_call1
117,1052,LM2,2020-05-08 05:24:32.015,Lagmut_call1
118,1053,LM3,2020-05-08 05:24:47.801,Lagmut_call1
119,1054,LM3,2020-05-08 05:24:56.420,Lagmut_call1
120,1055,LM3,2020-05-08 05:25:03.076,Lagmut_call1
121,1057,LM3,2020-05-08 05:27:23.812,Lagmut_call1
122,1058,LM2,2020-05-08 05:28:12.816,Lagmut_call2
123,1059,LM3,2020-05-08 05:29:09.561,Lagmut_call2
124,1073,LM3,2020-05-09 05:08:30.873,Lagmut_call1
125,1074,LM2,2020-05-09 05:08:31.364,Lagmut_call1
126,1085,LM3,2020-05-09 05:34:22.192,Lagmut_call2
127,1086,LM2,2020-05-09 05:34:52.804,Lagmut_call2
128,1169,LM2,2020-05-12 05:11:20.047,Lagmut_call2
129,1170,LM3,2020-05-12 05:12:01.968,Lagmut_call1
130,1171,LM3,2020-05-12 05:12:15.535,Lagmut_call2
131,1218,LM3,2020-05-15 05:00:43.353,Lagmut_call3
132,1219,LM2,2020-05-15 05:00:58.457,Lagmut_call3
133,1235,LM2,2020-05-15 08:51:23.268,Lagmut_call3
134,1236,LM3,2020-05-15 08:51:30.949,Lagmut_call2
135,1248,LM3,2020-05-16 04:54:35.706,Lagmut_call3
136,1249,LM2,2020-05-16 04:55:22.405,Lagmut_call3
